username,fans,year,views,likes,coins,collects,part
史蒂猪StevenPig,2050000,2023,262606000.0,12219916.0,3760372.0,4797675.0,游戏
司墨尧smile,2343000,2022,231716066.0,21385894.0,3719023.0,4785990.0,音乐
司墨尧smile,2747000,2023,323802066.0,28104052.0,4599058.0,7507622.0,音乐
吸奇侠,1087000,2022,110440000.0,5116498.0,3960605.0,1029618.0,影视
和猫住,1823000,2021,197944000.0,18155464.0,12200405.0,1809576.0,动物圈
咻咻满,1820000,2022,212895000.0,9367893.0,5995347.0,2881543.0,音乐
哈米伦的弄笛者,2267000,2023,484449000.0,40328047.0,17518976.0,18085538.0,动画
哦呼w,1799000,2021,422357000.0,22577287.0,15853328.0,9807109.0,鬼畜
哦呼w,2674000,2022,575132000.0,33460287.0,21326942.0,13605826.0,鬼畜
哦呼w,3352000,2023,668944000.0,42578287.0,24488442.0,16278816.0,鬼畜
唠点历史,1252000,2023,54661000.0,2596000.0,2577542.0,777070.0,知识
啊吗粽,4209000,2021,456850000.0,38760257.0,18630474.0,4858100.0,生活
啊粥粥啊粥,2231000,2023,296144000.0,9576774.0,5173462.0,1880311.0,影视
嘉然今天吃什么,1490000,2021,135167000.0,7288352.0,4430766.0,1715606.0,动画
嘉然今天吃什么,1710000,2022,190083000.0,12177352.0,6626746.0,2723022.0,动画
在下铁头阿彪,1018000,2021,117038000.0,3146000.0,496417.0,487238.0,动物圈
培根悖论唠唠嗑,1598000,2022,180504000.0,6992024.0,3130422.0,1414380.0,影视
培根悖论唠唠嗑,2050000,2023,260821000.0,9945236.0,4033238.0,2235469.0,影视
塑料叉FOKU,1506000,2021,74590000.0,5719597.0,1903715.0,1675720.0,时尚
多多poi、,1969000,2021,143664862.0,9034724.0,4683669.0,3716393.0,动画
大漠叔叔,4993000,2021,521296000.0,41327581.0,11651166.0,2609017.0,生活
大狸子切切里,1695000,2022,114350000.0,4666917.0,1660361.0,1077647.0,科技
大碗拿铁,2740000,2021,162980000.0,12011768.0,4439498.0,2771376.0,美食
大祥哥来了,4895000,2021,580357000.0,28337000.0,13185358.0,2290456.0,美食
大象放映室,2111000,2021,162833000.0,6728401.0,4574447.0,1930563.0,影视
大象放映室,4293000,2023,274635000.0,13284324.0,8695167.0,3936528.0,影视
天才女友GG,734000,2022,54064000.0,2470727.0,631194.0,833272.0,时尚
天真的和感伤的小说家,1046000,2022,63467000.0,4367706.0,2619301.0,1120607.0,知识
好运的鱼,1158000,2021,121010000.0,5473081.0,2091900.0,956286.0,游戏
学过石油的语文老师,3821000,2022,218721000.0,11003810.0,5757087.0,5004268.0,知识
学过石油的语文老师,6416000,2023,313006000.0,15982257.0,7451134.0,7006509.0,知识
安州牧,1588000,2023,151981550.0,4990502.0,3094586.0,1725155.0,知识
宋浩老师官方,7133000,2023,399432000.0,7868263.0,5752461.0,7637192.0,知识
宝剑嫂,3981000,2021,310134000.0,27834422.0,10115312.0,3367876.0,时尚
宝剑嫂,4475000,2023,508504000.0,43564422.0,13653982.0,4910727.0,生活
导演小策,2950000,2021,227226000.0,14079080.0,8744498.0,1943740.0,生活
小Lin说,1981000,2022,111779000.0,3712526.0,1819473.0,1126738.0,知识
小Lin说,3662000,2023,205576000.0,7534526.0,3251528.0,2118601.0,知识
小文哥吃吃吃,2848000,2021,585849000.0,34715223.0,9944719.0,1936827.0,美食
小桑菜奈,1951000,2023,121506000.0,5799909.0,1748310.0,3140601.0,时尚
小潮院长,7194000,2021,1545509000.0,67553462.0,23307071.0,11733021.0,游戏
小潮院长,9454000,2022,2147931000.0,90816462.0,33880071.0,18294021.0,游戏
小潮院长,11746000,2023,2769258000.0,113788462.0,45893071.0,26896021.0,游戏
小片片说大片,5195000,2021,1087862000.0,51276756.0,17460160.0,6180705.0,影视
小片片说大片,6120000,2022,1344888000.0,64355756.0,21313918.0,7648261.0,影视
小片片说大片,6748000,2023,1586882000.0,74140756.0,23784336.0,8902325.0,影视
小王Albert,2164000,2022,161766000.0,10197000.0,4273150.0,1375289.0,知识
小王Albert,3029000,2023,259897000.0,15395000.0,6512571.0,2163335.0,知识
小约翰可汗,3245000,2021,665317000.0,20140000.0,10370000.0,3718000.0,知识
小约翰可汗,5557000,2022,1130973000.0,39698000.0,19036000.0,6549000.0,知识
小约翰可汗,7667000,2023,1416594000.0,53947000.0,25617000.0,8855000.0,知识
